epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,140.048,1.5548,3.17302,0.08037,0.07025,0.59783,0.55766,0.56811,0.39172,1.1922,1.46143,0.1095,0.01468,0.00997361,0.00332454,0.00997361,0.00332454,0.00997361,0.00332454,0.00997361,0.00332454
2,251.21,1.28426,1.50447,0.08112,0.0427,0.66211,0.61927,0.64001,0.44506,1.22903,1.29767,0.10538,0.01772,0.0199538,0.00665128,0.0199538,0.00665128,0.0199538,0.00665128,0.0199538,0.00665128
3,366.266,1.23556,1.34226,0.07452,0.04173,0.72601,0.63191,0.71111,0.49555,1.17834,1.13772,0.11213,0.0152,0.0299143,0.00997142,0.0299143,0.00997142,0.0299143,0.00997142,0.0299143,0.00997142
4,481.195,1.27891,1.34127,0.07692,0.04569,0.68611,0.63823,0.67178,0.45928,1.27594,1.17731,0.10853,0.0207,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,596.33,1.30805,1.30228,0.07629,0.04488,0.64684,0.65561,0.66512,0.44166,1.24882,1.18076,0.11301,0.01763,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,708.385,1.27616,1.262,0.08161,0.0424,0.67322,0.64767,0.67778,0.45208,1.26765,1.1627,0.12185,0.01779,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,818.342,1.27279,1.26713,0.07886,0.0419,0.68045,0.65933,0.70218,0.48029,1.22001,1.15218,0.10455,0.01903,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,929.627,1.26706,1.26301,0.06848,0.0445,0.68988,0.6642,0.70891,0.48096,1.25781,1.10105,0.10137,0.01921,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,1040.97,1.2445,1.19339,0.07349,0.03657,0.67049,0.67615,0.71499,0.50851,1.13346,1.08424,0.10051,0.01437,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,1150.62,1.23805,1.20453,0.07422,0.03704,0.65768,0.7072,0.69757,0.47421,1.19963,1.1267,0.09798,0.02312,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,1261.53,1.22077,1.17946,0.07371,0.04194,0.69008,0.71248,0.71823,0.48029,1.24446,1.11442,0.1142,0.01698,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,1363.92,1.23026,1.13454,0.08014,0.03738,0.67743,0.72325,0.74036,0.49688,1.25598,1.03307,0.11163,0.01747,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,1471.96,1.22783,1.17216,0.07621,0.0419,0.65982,0.703,0.7199,0.49511,1.18749,1.07144,0.10849,0.01537,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,1575.45,1.19293,1.10525,0.08282,0.03533,0.68346,0.71972,0.74467,0.50881,1.19145,1.04286,0.11345,0.01478,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
